TIME,SEQUENCE NUMBER,PROCESSING TIME
Sun Aug 16 2020 16:34:46 GMT+0400 (Gulf Standard Time),57546615,2787
Sun Aug 16 2020 16:34:52 GMT+0400 (Gulf Standard Time),57546616,6082
Sun Aug 16 2020 16:34:55 GMT+0400 (Gulf Standard Time),57546617,2996
Sun Aug 16 2020 16:34:58 GMT+0400 (Gulf Standard Time),57546618,3095
Sun Aug 16 2020 16:35:04 GMT+0400 (Gulf Standard Time),57546619,6215
Sun Aug 16 2020 16:35:07 GMT+0400 (Gulf Standard Time),57546620,2680
Sun Aug 16 2020 16:35:10 GMT+0400 (Gulf Standard Time),57546621,2981
Sun Aug 16 2020 16:35:16 GMT+0400 (Gulf Standard Time),57546622,5960
Sun Aug 16 2020 16:35:19 GMT+0400 (Gulf Standard Time),57546623,3003
Sun Aug 16 2020 16:35:22 GMT+0400 (Gulf Standard Time),57546624,3059
Sun Aug 16 2020 16:35:28 GMT+0400 (Gulf Standard Time),57546625,6048
Sun Aug 16 2020 16:35:31 GMT+0400 (Gulf Standard Time),57546626,2909
Sun Aug 16 2020 16:35:34 GMT+0400 (Gulf Standard Time),57546627,3028
Sun Aug 16 2020 16:35:40 GMT+0400 (Gulf Standard Time),57546628,6203
Sun Aug 16 2020 16:35:43 GMT+0400 (Gulf Standard Time),57546629,2950
Sun Aug 16 2020 16:35:46 GMT+0400 (Gulf Standard Time),57546630,2920
Sun Aug 16 2020 16:35:49 GMT+0400 (Gulf Standard Time),57546631,3018
Sun Aug 16 2020 16:35:55 GMT+0400 (Gulf Standard Time),57546632,5999
Sun Aug 16 2020 16:35:58 GMT+0400 (Gulf Standard Time),57546633,3011
Sun Aug 16 2020 16:36:01 GMT+0400 (Gulf Standard Time),57546634,2968
Sun Aug 16 2020 16:36:07 GMT+0400 (Gulf Standard Time),57546635,6201
Sun Aug 16 2020 16:36:10 GMT+0400 (Gulf Standard Time),57546636,2928
Sun Aug 16 2020 16:36:13 GMT+0400 (Gulf Standard Time),57546637,2974
Sun Aug 16 2020 16:36:19 GMT+0400 (Gulf Standard Time),57546638,6043
Sun Aug 16 2020 16:36:22 GMT+0400 (Gulf Standard Time),57546639,3010
Sun Aug 16 2020 16:36:25 GMT+0400 (Gulf Standard Time),57546640,3099
Sun Aug 16 2020 16:36:31 GMT+0400 (Gulf Standard Time),57546641,5712
Sun Aug 16 2020 16:36:34 GMT+0400 (Gulf Standard Time),57546642,3075
Sun Aug 16 2020 16:36:37 GMT+0400 (Gulf Standard Time),57546643,2965
Sun Aug 16 2020 16:36:40 GMT+0400 (Gulf Standard Time),57546644,3186
Sun Aug 16 2020 16:36:46 GMT+0400 (Gulf Standard Time),57546645,5803
Sun Aug 16 2020 16:36:49 GMT+0400 (Gulf Standard Time),57546646,2991
Sun Aug 16 2020 16:36:52 GMT+0400 (Gulf Standard Time),57546647,3104
Sun Aug 16 2020 16:36:58 GMT+0400 (Gulf Standard Time),57546648,6185
Sun Aug 16 2020 16:37:01 GMT+0400 (Gulf Standard Time),57546649,3021
Sun Aug 16 2020 16:37:04 GMT+0400 (Gulf Standard Time),57546650,2905
Sun Aug 16 2020 16:37:07 GMT+0400 (Gulf Standard Time),57546651,2977
Sun Aug 16 2020 16:37:13 GMT+0400 (Gulf Standard Time),57546652,5922
Sun Aug 16 2020 16:37:16 GMT+0400 (Gulf Standard Time),57546653,2954
Sun Aug 16 2020 16:37:19 GMT+0400 (Gulf Standard Time),57546654,3071
Sun Aug 16 2020 16:37:25 GMT+0400 (Gulf Standard Time),57546655,6264
Sun Aug 16 2020 16:37:28 GMT+0400 (Gulf Standard Time),57546656,2618
Sun Aug 16 2020 16:37:31 GMT+0400 (Gulf Standard Time),57546657,2971
Sun Aug 16 2020 16:37:37 GMT+0400 (Gulf Standard Time),57546658,6204
Sun Aug 16 2020 16:37:40 GMT+0400 (Gulf Standard Time),57546659,3066
Sun Aug 16 2020 16:37:43 GMT+0400 (Gulf Standard Time),57546660,2963
Sun Aug 16 2020 16:37:49 GMT+0400 (Gulf Standard Time),57546661,6063
Sun Aug 16 2020 16:37:52 GMT+0400 (Gulf Standard Time),57546662,2766
Sun Aug 16 2020 16:37:55 GMT+0400 (Gulf Standard Time),57546663,3011
Sun Aug 16 2020 16:38:01 GMT+0400 (Gulf Standard Time),57546664,6053
Sun Aug 16 2020 16:38:04 GMT+0400 (Gulf Standard Time),57546665,3099
Sun Aug 16 2020 16:38:07 GMT+0400 (Gulf Standard Time),57546666,2984
Sun Aug 16 2020 16:38:13 GMT+0400 (Gulf Standard Time),57546667,5878
Sun Aug 16 2020 16:38:16 GMT+0400 (Gulf Standard Time),57546668,2963
Sun Aug 16 2020 16:38:19 GMT+0400 (Gulf Standard Time),57546669,3072
Sun Aug 16 2020 16:38:25 GMT+0400 (Gulf Standard Time),57546670,5934
Sun Aug 16 2020 16:38:28 GMT+0400 (Gulf Standard Time),57546671,3129
Sun Aug 16 2020 16:38:31 GMT+0400 (Gulf Standard Time),57546672,2998
Sun Aug 16 2020 16:38:37 GMT+0400 (Gulf Standard Time),57546673,5935
Sun Aug 16 2020 16:38:40 GMT+0400 (Gulf Standard Time),57546674,3160
Sun Aug 16 2020 16:38:43 GMT+0400 (Gulf Standard Time),57546675,2964
Sun Aug 16 2020 16:38:49 GMT+0400 (Gulf Standard Time),57546676,6094
Sun Aug 16 2020 16:38:52 GMT+0400 (Gulf Standard Time),57546677,2888
Sun Aug 16 2020 16:38:55 GMT+0400 (Gulf Standard Time),57546678,2997
Sun Aug 16 2020 16:38:58 GMT+0400 (Gulf Standard Time),57546679,2911
Sun Aug 16 2020 16:39:04 GMT+0400 (Gulf Standard Time),57546680,5926
Sun Aug 16 2020 16:39:07 GMT+0400 (Gulf Standard Time),57546681,2993
Sun Aug 16 2020 16:39:10 GMT+0400 (Gulf Standard Time),57546682,3286
Sun Aug 16 2020 16:39:16 GMT+0400 (Gulf Standard Time),57546683,5961
Sun Aug 16 2020 16:39:19 GMT+0400 (Gulf Standard Time),57546684,2952
Sun Aug 16 2020 16:39:22 GMT+0400 (Gulf Standard Time),57546685,2973
